#	time	(s)
#	temp	(K)
# time 7200	7800 	8400	9000	9600	10200	10800	11400	12000	12600	13200	13800	14400
# temp 292.5	285.0	285.0	292.5 	292.5 	285.0 	285.0 	292.5 	292.5 	285.0 	285.0 	292.5 	292.5
time 7200   7800   9000   9600  10200
temp 294.5 275.0  275.0  294.5  294.5
