# Aq. chemistry related species data
# Name         Dg          MW       N_star      AbsTol     +Charge -Charge
#           (m2 s-1)    (kg mol-1) (unitless)  (atm or M)    (#)      (#)
BRm			0.00E+00	0.00E+00	0.00E+00	6.70E-15	  0 	   1
BRNO2		1.44E-05	1.26E-01	2.71E+00	6.30E-28	  0 	   0
BROHm		0.00E+00	0.00E+00	0.00E+00	4.30E-23	  0 	   1
C2O4m		0.00E+00	0.00E+00	0.00E+00	2.50E-27	  0 	   1
C2O4mm		0.00E+00	0.00E+00	0.00E+00	4.00E-17	  0 	   2
CH2COOm		0.00E+00	0.00E+00	0.00E+00	1.60E-25	  0 	   1
CH3OH		1.16E-05	3.20E-02	2.34E+00	4.90E-17	  0 	   0
CHOH2COOm	0.00E+00	0.00E+00	0.00E+00	4.40E-19	  0 	   1
CHOHSO3m	0.00E+00	0.00E+00	0.00E+00	3.70E-27	  0 	   1
CHOSO3m		0.00E+00	0.00E+00	0.00E+00	3.30E-21	  0 	   1
CHOSO3mm	0.00E+00	0.00E+00	0.00E+00	1.80E-27	  0 	   2
CL2			1.28E-05	7.09E-02	1.97E+00	1.00E-25	  0 	   0
CL2m		0.00E+00	0.00E+00	0.00E+00	1.70E-20	  0 	   1
CLm			0.00E+00	0.00E+00	0.00E+00	2.30E-11	  0 	   1
CLNO2		1.44E-05	8.15E-02	2.71E+00	5.60E-24	  0 	   0
CLOHm		0.00E+00	0.00E+00	0.00E+00	4.50E-19	  0 	   1
CO2			1.55E-05	4.40E-02	4.49E+00	5.00E-12	  0 	   0
CO2m		0.00E+00	0.00E+00	0.00E+00	4.60E-26	  0 	   1
CUp			0.00E+00	0.00E+00	0.00E+00	1.00E-17	  1 	   0
CUpp		0.00E+00	0.00E+00	0.00E+00	7.00E-16	  2 	   0
ETHPX		1.08E-05	6.11E-02	2.78E+00	9.10E-22	  0 	   0
ETOH		9.50E-06	4.61E-02	2.50E+00	1.00E-18	  0 	   0
FEC2O42m	0.00E+00	0.00E+00	0.00E+00	4.40E-18	  0 	   1
FEC2O4p		0.00E+00	0.00E+00	0.00E+00	9.60E-16	  1 	   0
FEOHpp		0.00E+00	0.00E+00	0.00E+00	1.80E-15	  2 	   0
FEOpp		0.00E+00	0.00E+00	0.00E+00	2.60E-17	  2 	   0
FEpp		0.00E+00	0.00E+00	0.00E+00	1.30E-14	  2 	   0
FEppp		0.00E+00	0.00E+00	0.00E+00	8.30E-17	  3 	   0
GLY			1.15E-05	5.80E-02	2.40E+00	1.00E-18	  0 	   0
H2O2		1.46E-05	3.40E-02	1.74E+00	2.80E-19	  0 	   0
HC2O4m		0.00E+00	0.00E+00	0.00E+00	1.80E-16	  0 	   1
HCHO		1.64E-05	3.03E-02	2.45E+00	4.80E-18	  0 	   0
HCL			1.89E-05	3.65E-02	1.84E+00	2.90E-21	  0 	   0
HCO3m		0.00E+00	0.00E+00	0.00E+00	2.90E-16	  0 	   1
HCOOm		0.00E+00	0.00E+00	0.00E+00	3.80E-13	  0 	   1
HMSm		0.00E+00	0.00E+00	0.00E+00	3.80E-17	  0 	   1
HNO3		1.32E-05	6.30E-02	1.94E+00	7.90E-21	  0 	   0
HNO4		1.30E-05	7.90E-02	1.89E+00	5.60E-20	  0 	   0
HO			1.53E-05	1.70E-02	2.13E+00	5.30E-22	  0 	   0
HO2			1.04E-05	3.30E-02	2.71E+00	6.90E-20	  0 	   0
HONO		1.30E-05	4.70E-02	1.27E+00	2.10E-20	  0 	   0
Hp			0.00E+00	0.00E+00	0.00E+00	2.70E-09	  1 	   0
HSO3m		0.00E+00	0.00E+00	0.00E+00	4.30E-15	  0 	   1
HSO4m		0.00E+00	0.00E+00	0.00E+00	1.50E-07	  0 	   1
HSO5m		0.00E+00	0.00E+00	0.00E+00	2.40E-16	  0 	   1
MCOOm		0.00E+00	0.00E+00	0.00E+00	4.80E-16	  0 	   1
MO2			1.35E-05	4.70E-02	2.85E+00	2.00E-20	  0 	   0
N2O5		1.10E-05	1.08E-01	2.49E+00	7.10E-22	  0 	   0
