#	time	(s)
#	temp	(K)
time 0	3600	7200	10800	14400	18000	21600	25200	28800	32400	36000	39600	43200	46800	50400	54000	57600	61200	64800	68400	72000	75600	79200	82800	86400	90000	93600	97200	100800	104400	108000	111600	115200	118800	122400	126000	129600	133200	136800	140400	144000	147600	151200	154800	158400	162000	165600	169200	172800
temp 290.016	292.5	294.5	296.112	297.649	299.049	299.684	299.509	299.002	298.432	296.943	295.153	293.475	292.466	291.972	291.96	291.512	291.481	290.5	290.313	290.317	290.362	290.245	290.228	291.466	292.5	294.5	296.112	297.649	299.049	299.684	299.509	299.002	298.432	296.943	295.153	293.475	292.466	291.972	291.96	291.512	291.481	290.5	290.313	290.317	290.362	290.245	290.228	291.466
