#   time    (s)
#   temp    (K)
time 0    60    120    180    240    300    360    420    480    540    600    660    720    780    840    900    960    1020    1080    1140    1200    1260    1320    1380    1440    1500    1560    1620    1680    1740    1800    1860    1920    1980    2040    2100    2160    2220    2280    2340    2400    2460    2520    2580    2640    2700    2760    2820    2880    2940    3000    3060    3120    3180    3240    3300    3360    3420    3480    3540    3600    
temp 250.000    249.833    249.667    249.500    249.333    249.167    249.000    248.833    248.667    248.500    248.333    248.167    248.000    247.833    247.667    247.500    247.333    247.167    247.000    246.833    246.667    246.500    246.333    246.167    246.000    245.833    245.667    245.500    245.333    245.167    245.000    244.833    244.667    244.500    244.333    244.167    244.000    243.833    243.667    243.500    243.333    243.167    243.000    242.833    242.667    242.500    242.333    242.167    242.000    241.833    241.667    241.500    241.333    241.167    241.000    240.833    240.667    240.500    240.333    240.167    240.000    
