#   time    (s)
#   temp    (K)
time 0    60    120    180    240    300    360    420    480    540    600    660    720    780    840    900    960    1020    1080    1140    1200    1260    1320    1380    1440    1500    1560    1620    1680    1740    1800    1860    1920    1980    2040    2100    2160    2220    2280    2340    2400    2460    2520    2580    2640    2700    2760    2820    2880    2940    3000    3060    3120    3180    3240    3300    3360    3420    3480    3540    3600    
temp 280.000    277.333    274.667    272.000    269.333    266.667    264.000    261.333    258.667    256.000    253.333    250.667    248.000    245.333    242.667    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    240.000    
