0	3.55E+11
420	2.80E+11
840	2.31E+11
1260	2.02E+11
1680	1.79E+11
2101	1.63E+11
2520	1.47E+11
2940	1.35E+11
3360	1.25E+11
3780	1.15E+11
4200	1.09E+11
4620	1.02E+11
5040	9.61E+10
5460	9.10E+10
5880	8.50E+10
6300	8.07E+10
6720	7.70E+10
7140	7.41E+10
7560	7.12E+10
7980	6.77E+10
8400	6.48E+10
8820	6.28E+10
9240	5.99E+10
9660	5.78E+10
10080	5.59E+10
10500	5.40E+10
10921	5.22E+10
11340	5.05E+10
11760	4.88E+10
12180	4.71E+10
12600	4.62E+10
13020	4.49E+10
13440	4.38E+10
13860	4.24E+10
14280	4.15E+10
14700	4.02E+10
15120	3.92E+10
15540	3.82E+10
15960	3.72E+10
16380	3.62E+10
16800	3.50E+10
17220	3.46E+10
17640	3.35E+10
18060	3.29E+10
18480	3.22E+10
18900	3.13E+10
19320	3.08E+10
19740	3.01E+10
20160	2.93E+10
20581	2.88E+10
21000	2.83E+10
21420	2.78E+10
21840	2.71E+10
22260	2.66E+10
22680	2.59E+10
23100	2.54E+10
23520	2.48E+10
23940	2.44E+10
24360	2.42E+10
24780	2.35E+10
25200	2.32E+10
25620	2.26E+10
26041	2.21E+10
26460	2.17E+10
26880	2.15E+10
27300	2.08E+10
27720	2.04E+10
28140	2.02E+10
28560	1.96E+10
28980	1.94E+10
29401	1.91E+10
29820	1.86E+10
30240	1.85E+10
30660	1.81E+10
31080	1.79E+10
31500	1.77E+10
31920	1.71E+10
32340	1.70E+10
32760	1.66E+10
33180	1.64E+10
33600	1.62E+10
34020	1.57E+10
34440	1.55E+10
34860	1.53E+10
35280	1.51E+10
35700	1.48E+10
36120	1.47E+10
36540	1.44E+10
36960	1.42E+10
37380	1.39E+10
37800	1.36E+10
38221	1.34E+10
38640	1.34E+10
39060	1.30E+10
39480	1.28E+10
39900	1.26E+10
40321	1.25E+10
40740	1.22E+10
41160	1.20E+10
41580	1.18E+10
42000	1.17E+10
42420	1.15E+10
42840	1.14E+10
43260	1.12E+10
43681	1.10E+10
44100	1.08E+10
44520	1.07E+10
44940	1.06E+10
45360	1.04E+10
45780	1.03E+10
46200	1.01E+10
46620	1.00E+10
47040	9.83E+09
47460	9.71E+09
47880	9.58E+09
48300	9.46E+09
48720	9.33E+09
49140	9.14E+09
49560	8.98E+09
49980	8.85E+09
50400	8.61E+09
50820	8.39E+09
51240	8.32E+09
51660	8.27E+09
52080	8.03E+09
52501	8.01E+09
52920	7.67E+09
53340	7.79E+09
53760	7.55E+09
54180	7.45E+09
54601	7.11E+09
55020	7.17E+09
55440	7.13E+09
55860	7.20E+09
56280	7.02E+09
56700	6.76E+09
57120	6.70E+09
57540	6.63E+09
57961	6.69E+09
58380	6.27E+09
58800	6.25E+09
59220	6.28E+09
59640	6.06E+09
60060	6.18E+09
60480	6.12E+09
60900	6.11E+09
61321	6.07E+09
61740	5.94E+09
62160	5.98E+09
62580	5.87E+09
63000	5.75E+09
63420	5.70E+09
63840	5.66E+09
64260	5.51E+09
64680	5.44E+09
65100	5.40E+09
