Sample File	C:\Users\EARL_Administrator\Desktop\OVERNIGHT THE REAL DEAL\Sucrose to Ammonium Sulfate\1. Sucrose pre mixing tube\Sucrose pre mixing.S80									
Classifier Model	3080									
DMA Model	3081									
DMA Inner Radius(cm)	0.00937									
DMA Outer Radius(cm)	0.01961									
DMA Characteristic Length(cm)	0.44369									
CPC Model	3776 Low Flow									
Reference Gas Viscosity (Pa*s)	1.83E-05									
Reference Mean Free Path (m)	6.73E-08									
Reference Gas Temperature (K)	296.15									
Reference Gas Pressure (kPa)	101.3									
Channels/Decade	64									
Multiple Charge Correction	FALSE									
Nanoparticle Aggregate Mobility Analysis	FALSE									
Diffusion Correction	FALSE									
Units	dw/dlogDp									
Weight	Number									
Sample #	1		2		3		4		5	
Date	9/4/21		9/4/21		9/4/21		9/4/21		9/4/21	
Start Time	13:11:24		13:13:42		13:15:57		13:18:12		13:20:27	
Diameter Midpoint										
19.2	11.944358	6	11.944358	8	11.944358	3	11.944358	9	11.944358	6
19.3	11.979358	7	11.979358	8	11.979358	5	11.979358	8	11.979358	7
19.4	12.014347	10	12.014347	3	12.014347	8	12.014347	4	12.014347	7
19.5	12.049321	9	12.049321	8	12.049321	12	12.049321	7	12.049321	13
19.6	12.084633	8	12.084633	11	12.084633	8	12.084633	9	12.084633	4
19.7	12.119934	9	12.119934	12	12.119934	6	12.119934	6	12.119934	2
19.8	12.15522	7	12.15522	6	12.15522	4	12.15522	8	12.15522	11
19.9	12.190848	8	12.190848	6	12.190848	8	12.190848	8	12.190848	4
20	12.226464	9	12.226464	3	12.226464	8	12.226464	9	12.226464	5
20.1	12.262065	8	12.262065	5	12.262065	8	12.262065	8	12.262065	10
20.2	12.298011	14	12.298011	8	12.298011	9	12.298011	8	12.298011	4
20.3	12.333826	8	12.333826	6	12.333826	12	12.333826	6	12.333826	6
20.4	12.369864	9	12.369864	8	12.369864	10	12.369864	11	12.369864	4
20.5	12.406132	13	12.406132	13	12.406132	8	12.406132	14	12.406132	7
20.6	12.442266	8	12.442266	10	12.442266	7	12.442266	8	12.442266	7
20.7	12.478627	7	12.478627	6	12.478627	3	12.478627	10	12.478627	10
20.8	12.515219	8	12.515219	18	12.515219	8	12.515219	9	12.515219	11
20.9	12.551675	11	12.551675	6	12.551675	8	12.551675	7	12.551675	8
21	12.588483	6	12.588483	14	12.588483	7	12.588483	9	12.588483	8
21.1	12.62528	11	12.62528	6	12.62528	13	12.62528	6	12.62528	8
21.2	12.662062	13	12.662062	10	12.662062	8	12.662062	7	12.662062	7
21.3	12.6992	13	12.6992	8	12.6992	14	12.6992	7	12.6992	8
21.4	12.736202	8	12.736202	10	12.736202	8	12.736202	9	12.736202	4
21.5	12.773436	18	12.773436	10	12.773436	13	12.773436	8	12.773436	8
21.6	12.810906	9	12.810906	15	12.810906	9	12.810906	6	12.810906	11
21.7	12.848239	11	12.848239	8	12.848239	9	12.848239	11	12.848239	7
21.8	12.885931	9	12.885931	8	12.885931	12	12.885931	14	12.885931	12
21.9	12.923612	9	12.923612	7	12.923612	7	12.923612	13	12.923612	8
22	12.961278	15	12.961278	8	12.961278	9	12.961278	8	12.961278	8
22.1	12.999308	11	12.999308	14	12.999308	10	12.999308	8	12.999308	12
22.2	13.037199	10	13.037199	11	13.037199	7	13.037199	7	13.037199	7
22.3	13.075454	10	13.075454	8	13.075454	8	13.075454	11	13.075454	13
22.4	13.1137	8	13.1137	9	13.1137	14	13.1137	18	13.1137	7
22.5	13.151929	13	13.151929	10	13.151929	13	13.151929	13	13.151929	4
22.6	13.190528	13	13.190528	11	13.190528	14	13.190528	8	13.190528	13
22.7	13.228987	17	13.228987	13	13.228987	12	13.228987	8	13.228987	12
22.8	13.267814	8	13.267814	16	13.267814	13	13.267814	8	13.267814	8
22.9	13.306632	18	13.306632	12	13.306632	7	13.306632	17	13.306632	8
23	13.345433	8	13.345433	16	13.345433	10	13.345433	13	13.345433	11
23.1	13.38461	16	13.38461	11	13.38461	13	13.38461	17	13.38461	13
23.2	13.423645	10	13.423645	12	13.423645	18	13.423645	11	13.423645	7
23.3	13.463053	18	13.463053	13	13.463053	13	13.463053	13	13.463053	14
23.4	13.502453	15	13.502453	14	13.502453	9	13.502453	13	13.502453	18
23.5	13.541835	16	13.541835	11	13.541835	8	13.541835	6	13.541835	15
23.6	13.581599	10	13.581599	12	13.581599	13	13.581599	10	13.581599	17
23.7	13.621218	13	13.621218	18	13.621218	13	13.621218	13	13.621218	10
23.8	13.661217	16	13.661217	6	13.661217	8	13.661217	18	13.661217	13
23.9	13.701074	13	13.701074	13	13.701074	8	13.701074	18	13.701074	13
24	13.741179	25	13.741179	9	13.741179	13	13.741179	11	13.741179	17
24.1	13.781539	19	13.781539	11	13.781539	17	13.781539	16	13.781539	11
24.2	13.821751	18	13.821751	9	13.821751	15	13.821751	16	13.821751	9
24.3	13.862351	23	13.862351	22	13.862351	13	13.862351	25	13.862351	12
24.4	13.902805	15	13.902805	15	13.902805	10	13.902805	17	13.902805	12
24.5	13.943646	25	13.943646	15	13.943646	17	13.943646	18	13.943646	15
24.6	13.984342	18	13.984342	15	13.984342	13	13.984342	24	13.984342	10
24.7	14.025291	18	14.025291	15	14.025291	13	14.025291	21	14.025291	18
24.8	14.066501	23	14.066501	18	14.066501	19	14.066501	20	14.066501	13
24.9	14.10756	23	14.10756	19	14.10756	16	14.10756	10	14.10756	11
25	14.149015	18	14.149015	19	14.149015	15	14.149015	18	14.149015	10
25.1	14.190321	22	14.190321	22	14.190321	15	14.190321	17	14.190321	18
25.2	14.232022	19	14.232022	23	14.232022	16	14.232022	21	14.232022	13
25.3	14.273576	18	14.273576	18	14.273576	12	14.273576	24	14.273576	15
25.4	14.315526	16	14.315526	21	14.315526	18	14.315526	19	14.315526	23
25.5	14.357467	23	14.357467	26	14.357467	12	14.357467	21	14.357467	15
25.6	14.39939	16	14.39939	14	14.39939	14	14.39939	18	14.39939	23
25.7	14.44172	26	14.44172	15	14.44172	18	14.44172	18	14.44172	18
25.8	14.483895	14	14.483895	18	14.483895	21	14.483895	18	14.483895	21
25.9	14.526477	23	14.526477	18	14.526477	14	14.526477	18	14.526477	16
26	14.568906	28	14.568906	18	14.568906	21	14.568906	18	14.568906	16
26.1	14.611742	25	14.611742	19	14.611742	14	14.611742	21	14.611742	21
26.2	14.654425	20	14.654425	18	14.654425	25	14.654425	17	14.654425	19
26.3	14.697516	23	14.697516	31	14.697516	15	14.697516	15	14.697516	27
26.4	14.740456	38	14.740456	26	14.740456	25	14.740456	18	14.740456	17
26.5	14.783804	16	14.783804	18	14.783804	27	14.783804	18	14.783804	22
26.6	14.827144	29	14.827144	18	14.827144	14	14.827144	20	14.827144	22
26.7	14.870465	30	14.870465	24	14.870465	27	14.870465	20	14.870465	21
26.8	14.914208	24	14.914208	21	14.914208	15	14.914208	17	14.914208	19
26.9	14.957789	22	14.957789	25	14.957789	22	14.957789	18	14.957789	18
27	15.001793	30	15.001793	19	15.001793	19	15.001793	29	15.001793	28
27.1	15.045636	25	15.045636	20	15.045636	33	15.045636	23	15.045636	23
27.2	15.089903	35	15.089903	33	15.089903	21	15.089903	28	15.089903	24
27.3	15.134009	29	15.134009	27	15.134009	28	15.134009	24	15.134009	24
27.4	15.17854	33	15.17854	25	15.17854	19	15.17854	23	15.17854	27
27.5	15.222912	45	15.222912	30	15.222912	29	15.222912	28	15.222912	25
27.6	15.267709	27	15.267709	25	15.267709	25	15.267709	27	15.267709	18
27.7	15.312347	30	15.312347	31	15.312347	23	15.312347	28	15.312347	19
27.8	15.357413	27	15.357413	20	15.357413	23	15.357413	33	15.357413	23
27.9	15.402319	33	15.402319	23	15.402319	32	15.402319	16	15.402319	24
28	15.447654	34	15.447654	30	15.447654	28	15.447654	22	15.447654	22
28.1	15.49283	33	15.49283	28	15.49283	19	15.49283	33	15.49283	22
28.2	15.538436	34	15.538436	30	15.538436	19	15.538436	21	15.538436	25
28.3	15.583884	42	15.583884	27	15.583884	35	15.583884	32	15.583884	25
28.4	15.629764	26	15.629764	31	15.629764	26	15.629764	30	15.629764	33
28.5	15.675484	32	15.675484	28	15.675484	27	15.675484	33	15.675484	27
28.6	15.721639	40	15.721639	38	15.721639	26	15.721639	31	15.721639	33
28.7	15.767633	42	15.767633	33	15.767633	25	15.767633	36	15.767633	19
28.8	15.814065	40	15.814065	22	15.814065	30	15.814065	24	15.814065	26
28.9	15.860336	28	15.860336	27	15.860336	25	15.860336	15	15.860336	34
29	15.907046	35	15.907046	31	15.907046	28	15.907046	29	15.907046	31
29.1	15.953595	49	15.953595	40	15.953595	28	15.953595	30	15.953595	31
29.2	16.000586	35	16.000586	33	16.000586	28	16.000586	33	16.000586	36
29.3	16.047414	37	16.047414	28	16.047414	33	16.047414	31	16.047414	23
29.4	16.094688	27	16.094688	34	16.094688	20	16.094688	32	16.094688	31
29.5	16.141797	34	16.141797	25	16.141797	27	16.141797	40	16.141797	31
29.6	16.189355	39	16.189355	25	16.189355	23	16.189355	33	16.189355	32
29.7	16.236747	48	16.236747	35	16.236747	31	16.236747	33	16.236747	30
29.8	16.28459	38	16.28459	43	16.28459	27	16.28459	40	16.28459	32
29.9	16.332267	49	16.332267	35	16.332267	40	16.332267	28	16.332267	39
30	16.380399	45	16.380399	37	16.380399	33	16.380399	32	16.380399	41
30.1	16.428362	33	16.428362	29	16.428362	37	16.428362	38	16.428362	22
30.2	16.476783	41	16.476783	32	16.476783	32	16.476783	39	16.476783	33
30.3	16.525035	49	16.525035	48	16.525035	35	16.525035	39	16.525035	29
30.4	16.573747	37	16.573747	30	16.573747	38	16.573747	36	16.573747	37
30.5	16.622288	49	16.622288	31	16.622288	44	16.622288	39	16.622288	29
30.6	16.671295	44	16.671295	39	16.671295	38	16.671295	41	16.671295	38
30.7	16.720127	44	16.720127	32	16.720127	38	16.720127	32	16.720127	34
30.8	16.769429	35	16.769429	40	16.769429	33	16.769429	39	16.769429	35
30.9	16.818555	28	16.818555	45	16.818555	48	16.818555	45	16.818555	45
31	16.868154	44	16.868154	39	16.868154	32	16.868154	44	16.868154	35
31.1	16.917575	50	16.917575	44	16.917575	36	16.917575	38	16.917575	35
31.2	16.967474	46	16.967474	38	16.967474	44	16.967474	41	16.967474	41
31.3	17.017191	44	17.017191	36	17.017191	45	17.017191	47	17.017191	39
31.4	17.067228	50	17.067228	41	17.067228	33	17.067228	42	17.067228	44
31.5	17.117572	40	17.117572	46	17.117572	37	17.117572	48	17.117572	46
31.6	17.167746	35	17.167746	50	17.167746	49	17.167746	39	17.167746	46
31.7	17.218394	66	17.218394	45	17.218394	38	17.218394	50	17.218394	44
31.8	17.268869	46	17.268869	39	17.268869	45	17.268869	44	17.268869	47
31.9	17.319824	49	17.319824	43	17.319824	49	17.319824	38	17.319824	46
32	17.370602	42	17.370602	59	17.370602	44	17.370602	45	17.370602	49
32.1	17.421865	38	17.421865	40	17.421865	40	17.421865	51	17.421865	41
32.2	17.472948	51	17.472948	46	17.472948	32	17.472948	40	17.472948	49
32.3	17.524522	43	17.524522	46	17.524522	44	17.524522	55	17.524522	42
32.4	17.575911	53	17.575911	40	17.575911	45	17.575911	49	17.575911	56
32.5	17.627798	50	17.627798	42	17.627798	38	17.627798	44	17.627798	47
32.6	17.679665	57	17.679665	43	17.679665	49	17.679665	49	17.679665	39
32.7	17.731526	55	17.731526	57	17.731526	54	17.731526	51	17.731526	55
32.8	17.783877	63	17.783877	57	17.783877	46	17.783877	65	17.783877	45
32.9	17.836049	49	17.836049	63	17.836049	50	17.836049	74	17.836049	49
33	17.888718	57	17.888718	39	17.888718	54	17.888718	51	17.888718	38
33.1	17.941203	66	17.941203	44	17.941203	48	17.941203	57	17.941203	43
33.2	17.994192	56	17.994192	58	17.994192	57	17.994192	50	17.994192	57
33.3	18.046993	58	18.046993	61	18.046993	44	18.046993	61	18.046993	38
33.4	18.100303	47	18.100303	55	18.100303	53	18.100303	56	18.100303	51
33.5	18.153595	67	18.153595	51	18.153595	40	18.153595	58	18.153595	48
33.6	18.20688	66	18.20688	55	18.20688	41	18.20688	57	18.20688	59
33.7	18.260669	63	18.260669	40	18.260669	52	18.260669	51	18.260669	47
33.8	18.314274	59	18.314274	53	18.314274	52	18.314274	65	18.314274	44
33.9	18.368391	58	18.368391	49	18.368391	58	18.368391	55	18.368391	70
34	18.422317	60	18.422317	63	18.422317	59	18.422317	57	18.422317	57
34.1	18.476763	52	18.476763	41	18.476763	61	18.476763	59	18.476763	47
34.2	18.531191	60	18.531191	57	18.531191	53	18.531191	56	18.531191	56
34.3	18.585613	67	18.585613	65	18.585613	55	18.585613	59	18.585613	47
34.4	18.640549	53	18.640549	56	18.640549	54	18.640549	61	18.640549	59
34.5	18.695297	66	18.695297	57	18.695297	70	18.695297	68	18.695297	68
34.6	18.750568	60	18.750568	69	18.750568	56	18.750568	57	18.750568	65
34.7	18.805645	84	18.805645	80	18.805645	48	18.805645	57	18.805645	59
34.8	18.861253	70	18.861253	63	18.861253	49	18.861253	64	18.861253	54
34.9	18.916842	65	18.916842	72	18.916842	55	18.916842	64	18.916842	65
35	18.972425	81	18.972425	69	18.972425	70	18.972425	60	18.972425	56
35.1	19.028534	63	19.028534	50	19.028534	69	19.028534	58	19.028534	62
35.2	19.084451	66	19.084451	71	19.084451	64	19.084451	76	19.084451	65
35.3	19.140903	82	19.140903	63	19.140903	50	19.140903	76	19.140903	77
35.4	19.197155	69	19.197155	52	19.197155	64	19.197155	69	19.197155	72
35.5	19.253768	81	19.253768	62	19.253768	69	19.253768	59	19.253768	54
35.6	19.310729	77	19.310729	77	19.310729	77	19.310729	77	19.310729	67
35.7	19.367498	69	19.367498	79	19.367498	56	19.367498	79	19.367498	54
35.8	19.424808	77	19.424808	70	19.424808	56	19.424808	78	19.424808	78
35.9	19.481918	77	19.481918	62	19.481918	54	19.481918	74	19.481918	71
36	19.539393	75	19.539393	84	19.539393	63	19.539393	59	19.539393	70
36.1	19.59722	72	19.59722	72	19.59722	50	19.59722	78	19.59722	67
36.2	19.654855	81	19.654855	72	19.654855	66	19.654855	68	19.654855	61
36.3	19.713037	85	19.713037	68	19.713037	80	19.713037	74	19.713037	74
36.4	19.771018	71	19.771018	77	19.771018	76	19.771018	85	19.771018	82
36.5	19.829368	68	19.829368	75	19.829368	71	19.829368	74	19.829368	51
36.6	19.888077	78	19.888077	89	19.888077	82	19.888077	73	19.888077	64
36.7	19.94659	85	19.94659	75	19.94659	59	19.94659	72	19.94659	65
36.8	20.00566	87	20.00566	72	20.00566	79	20.00566	75	20.00566	62
36.9	20.064524	82	20.064524	84	20.064524	68	20.064524	69	20.064524	74
37	20.123765	91	20.123765	71	20.123765	71	20.123765	95	20.123765	70
37.1	20.183369	84	20.183369	89	20.183369	90	20.183369	71	20.183369	84
37.2	20.242775	82	20.242775	80	20.242775	74	20.242775	70	20.242775	73
37.3	20.302746	82	20.302746	75	20.302746	83	20.302746	85	20.302746	79
37.4	20.362508	76	20.362508	87	20.362508	74	20.362508	81	20.362508	80
37.5	20.422653	81	20.422653	86	20.422653	74	20.422653	92	20.422653	80
37.6	20.483168	79	20.483168	64	20.483168	87	20.483168	71	20.483168	78
37.7	20.54348	83	20.54348	75	20.54348	83	20.54348	90	20.54348	70
37.8	20.604368	79	20.604368	79	20.604368	90	20.604368	85	20.604368	75
37.9	20.665239	88	20.665239	84	20.665239	78	20.665239	91	20.665239	75
38	20.726105	90	20.726105	83	20.726105	96	20.726105	80	20.726105	85
38.1	20.787546	84	20.787546	86	20.787546	83	20.787546	78	20.787546	81
38.2	20.848779	77	20.848779	87	20.848779	100	20.848779	85	20.848779	72
38.3	20.9104	107	20.9104	101	20.9104	86	20.9104	85	20.9104	77
38.4	20.9724	93	20.9724	84	20.9724	99	20.9724	93	20.9724	82
38.5	21.034196	107	21.034196	84	21.034196	84	21.034196	103	21.034196	83
38.6	21.096578	87	21.096578	79	21.096578	95	21.096578	75	21.096578	76
38.7	21.158946	93	21.158946	89	21.158946	88	21.158946	90	21.158946	88
38.8	21.221309	110	21.221309	100	21.221309	80	21.221309	85	21.221309	96
38.9	21.284261	108	21.284261	90	21.284261	103	21.284261	96	21.284261	92
39	21.346999	100	21.346999	95	21.346999	83	21.346999	85	21.346999	83
39.1	21.410136	97	21.410136	90	21.410136	95	21.410136	94	21.410136	85
39.2	21.473661	98	21.473661	91	21.473661	91	21.473661	87	21.473661	99
39.3	21.536977	94	21.536977	87	21.536977	74	21.536977	71	21.536977	105
39.4	21.600896	102	21.600896	86	21.600896	90	21.600896	98	21.600896	96
39.5	21.664798	102	21.664798	91	21.664798	73	21.664798	102	21.664798	97
39.6	21.728697	93	21.728697	104	21.728697	93	21.728697	83	21.728697	96
39.7	21.793198	108	21.793198	98	21.793198	85	21.793198	99	21.793198	93
39.8	21.857481	96	21.857481	102	21.857481	92	21.857481	90	21.857481	97
39.9	21.922174	97	21.922174	101	21.922174	109	21.922174	92	21.922174	106
40	21.987265	109	21.987265	94	21.987265	97	21.987265	91	21.987265	97
40.1	22.052139	108	22.052139	71	22.052139	103	22.052139	118	22.052139	96
40.2	22.117426	101	22.117426	95	22.117426	89	22.117426	107	22.117426	92
40.3	22.183112	122	22.183112	116	22.183112	101	22.183112	105	22.183112	92
40.4	22.248584	103	22.248584	99	22.248584	106	22.248584	100	22.248584	110
40.5	22.314679	117	22.314679	116	22.314679	118	22.314679	115	22.314679	118
40.6	22.380758	104	22.380758	117	22.380758	130	22.380758	106	22.380758	106
40.7	22.446833	107	22.446833	88	22.446833	112	22.446833	102	22.446833	98
40.8	22.513534	110	22.513534	128	22.513534	90	22.513534	100	22.513534	122
40.9	22.58022	120	22.58022	98	22.58022	111	22.58022	105	22.58022	91
41	22.646903	132	22.646903	124	22.646903	105	22.646903	124	22.646903	98
41.1	22.714215	111	22.714215	105	22.714215	94	22.714215	121	22.714215	99
41.2	22.7813	106	22.7813	105	22.7813	116	22.7813	128	22.7813	108
41.3	22.848813	97	22.848813	120	22.848813	110	22.848813	107	22.848813	116
41.4	22.916743	111	22.916743	116	22.916743	95	22.916743	118	22.916743	108
41.5	22.984445	116	22.984445	108	22.984445	105	22.984445	118	22.984445	111
41.6	23.052579	148	23.052579	111	23.052579	123	23.052579	131	23.052579	120
41.7	23.121134	124	23.121134	102	23.121134	107	23.121134	115	23.121134	113
41.8	23.18946	119	23.18946	109	23.18946	127	23.18946	123	23.18946	120
41.9	23.258222	111	23.258222	114	23.258222	122	23.258222	133	23.258222	121
42	23.327406	115	23.327406	125	23.327406	117	23.327406	126	23.327406	106
42.1	23.396363	108	23.396363	114	23.396363	115	23.396363	117	23.396363	117
42.2	23.465757	124	23.465757	114	23.465757	94	23.465757	142	23.465757	128
42.3	23.535579	112	23.535579	118	23.535579	105	23.535579	111	23.535579	122
42.4	23.605171	139	23.605171	104	23.605171	129	23.605171	129	23.605171	110
42.5	23.675206	124	23.675206	122	23.675206	105	23.675206	120	23.675206	128
42.6	23.745671	130	23.745671	132	23.745671	126	23.745671	122	23.745671	126
42.7	23.815905	145	23.815905	134	23.815905	127	23.815905	120	23.815905	122
42.8	23.886585	132	23.886585	129	23.886585	108	23.886585	139	23.886585	118
42.9	23.9577	115	23.9577	113	23.9577	124	23.9577	110	23.9577	121
43	24.028582	134	24.028582	125	24.028582	132	24.028582	129	24.028582	124
43.1	24.099915	124	24.099915	129	24.099915	115	24.099915	120	24.099915	115
43.2	24.171686	156	24.171686	123	24.171686	125	24.171686	133	24.171686	134
43.3	24.243223	119	24.243223	140	24.243223	127	24.243223	131	24.243223	139
43.4	24.315214	130	24.315214	129	24.315214	112	24.315214	128	24.315214	143
43.5	24.387648	129	24.387648	148	24.387648	131	24.387648	148	24.387648	125
43.6	24.459845	132	24.459845	134	24.459845	127	24.459845	131	24.459845	134
43.7	24.532502	136	24.532502	140	24.532502	136	24.532502	122	24.532502	126
43.8	24.605606	157	24.605606	155	24.605606	142	24.605606	157	24.605606	141
43.9	24.67847	147	24.67847	138	24.67847	137	24.67847	126	24.67847	119
44	24.751798	146	24.751798	150	24.751798	146	24.751798	129	24.751798	116
44.1	24.825579	154	24.825579	135	24.825579	134	24.825579	136	24.825579	153
44.2	24.89935	147	24.89935	133	24.89935	155	24.89935	131	24.89935	134
44.3	24.973122	149	24.973122	151	24.973122	133	24.973122	127	24.973122	149
44.4	25.047588	152	25.047588	148	25.047588	128	25.047588	175	25.047588	127
44.5	25.122041	155	25.122041	151	25.122041	149	25.122041	130	25.122041	136
44.6	25.196495	145	25.196495	168	25.196495	126	25.196495	165	25.196495	123
44.7	25.271652	146	25.271652	146	25.271652	151	25.271652	151	25.271652	162
44.8	25.346795	161	25.346795	149	25.346795	133	25.346795	157	25.346795	184
44.9	25.421936	153	25.421936	142	25.421936	130	25.421936	155	25.421936	130
45	25.497552	149	25.497552	161	25.497552	140	25.497552	162	25.497552	138
45.1	25.573631	154	25.573631	133	25.573631	142	25.573631	153	25.573631	153
45.2	25.649467	172	25.649467	143	25.649467	160	25.649467	146	25.649467	157
45.3	25.725783	155	25.725783	160	25.725783	146	25.725783	159	25.725783	148
45.4	25.80257	153	25.80257	152	25.80257	164	25.80257	136	25.80257	136
45.5	25.879107	146	25.879107	181	25.879107	144	25.879107	186	25.879107	163
45.6	25.956132	147	25.956132	155	25.956132	149	25.956132	129	25.956132	135
45.7	26.033633	155	26.033633	149	26.033633	144	26.033633	158	26.033633	162
45.8	26.111125	151	26.111125	154	26.111125	145	26.111125	158	26.111125	164
45.9	26.188618	169	26.188618	143	26.188618	162	26.188618	158	26.188618	157
46	26.266842	171	26.266842	155	26.266842	171	26.266842	157	26.266842	175
46.1	26.345053	156	26.345053	164	26.345053	144	26.345053	170	26.345053	125
46.2	26.423264	174	26.423264	159	26.423264	145	26.423264	161	26.423264	152
46.3	26.501968	165	26.501968	170	26.501968	143	26.501968	151	26.501968	164
46.4	26.581156	152	26.581156	163	26.581156	143	26.581156	196	26.581156	178
46.5	26.66009	148	26.66009	174	26.66009	160	26.66009	165	26.66009	168
46.6	26.739526	194	26.739526	164	26.739526	170	26.739526	149	26.739526	157
46.7	26.819454	158	26.819454	149	26.819454	170	26.819454	171	26.819454	160
46.8	26.899373	161	26.899373	163	26.899373	175	26.899373	181	26.899373	176
46.9	26.979295	163	26.979295	157	26.979295	160	26.979295	164	26.979295	167
47	27.059718	157	27.059718	156	27.059718	184	27.059718	204	27.059718	162
47.1	27.140633	171	27.140633	168	27.140633	146	27.140633	154	27.140633	154
47.2	27.221294	172	27.221294	163	27.221294	185	27.221294	187	27.221294	181
47.3	27.302467	149	27.302467	173	27.302467	155	27.302467	172	27.302467	173
47.4	27.384141	159	27.384141	165	27.384141	179	27.384141	198	27.384141	184
47.5	27.465807	184	27.465807	141	27.465807	181	27.465807	182	27.465807	179
47.6	27.547478	199	27.547478	161	27.547478	155	27.547478	172	27.547478	179
47.7	27.629918	173	27.629918	197	27.629918	165	27.629918	157	27.629918	175
47.8	27.712346	187	27.712346	173	27.712346	190	27.712346	183	27.712346	177
47.9	27.794774	178	27.794774	172	27.794774	176	27.794774	167	27.794774	185
48	27.877723	178	27.877723	184	27.877723	170	27.877723	172	27.877723	181
48.1	27.961185	185	27.961185	194	27.961185	182	27.961185	167	27.961185	157
48.2	28.04464	188	28.04464	188	28.04464	150	28.04464	171	28.04464	165
48.3	28.128101	192	28.128101	172	28.128101	170	28.128101	182	28.128101	199
48.4	28.212085	186	28.212085	187	28.212085	174	28.212085	193	28.212085	175
48.5	28.296582	179	28.296582	186	28.296582	185	28.296582	190	28.296582	170
48.6	28.380817	185	28.380817	179	28.380817	175	28.380817	203	28.380817	166
48.7	28.465586	193	28.465586	204	28.465586	198	28.465586	179	28.465586	184
48.8	28.55088	187	28.55088	195	28.55088	195	28.55088	203	28.55088	209
48.9	28.636166	195	28.636166	190	28.636166	182	28.636166	206	28.636166	215
49	28.721457	184	28.721457	201	28.721457	163	28.721457	177	28.721457	208
49.1	28.807285	187	28.807285	173	28.807285	194	28.807285	195	28.807285	194
49.2	28.89364	181	28.89364	206	28.89364	205	28.89364	193	28.89364	192
49.3	28.979992	196	28.979992	205	28.979992	187	28.979992	199	28.979992	188
49.4	29.066354	215	29.066354	187	29.066354	202	29.066354	210	29.066354	206
49.5	29.153524	223	29.153524	196	29.153524	197	29.153524	198	29.153524	216
49.6	29.240685	216	29.240685	206	29.240685	214	29.240685	199	29.240685	189
49.7	29.327849	233	29.327849	223	29.327849	205	29.327849	196	29.327849	205
49.8	29.415564	234	29.415564	190	29.415564	198	29.415564	189	29.415564	197
49.9	29.503822	203	29.503822	216	29.503822	188	29.503822	207	29.503822	190
50	29.592075	183	29.592075	188	29.592075	187	29.592075	205	29.592075	210
50.1	29.680333	243	29.680333	206	29.680333	185	29.680333	194	29.680333	189
50.2	29.769147	199	29.769147	216	29.769147	193	29.769147	203	29.769147	210
50.3	29.858508	207	29.858508	191	29.858508	174	29.858508	206	29.858508	202
50.4	29.947866	201	29.947866	192	29.947866	195	29.947866	203	29.947866	180
50.5	30.037234	208	30.037234	207	30.037234	213	30.037234	222	30.037234	190
50.6	30.127162	210	30.127162	214	30.127162	208	30.127162	191	30.127162	194
50.7	30.217641	227	30.217641	224	30.217641	209	30.217641	225	30.217641	197
50.8	30.308121	227	30.308121	218	30.308121	214	30.308121	208	30.308121	204
50.9	30.398612	217	30.398612	232	30.398612	179	30.398612	229	30.398612	191
51	30.489669	202	30.489669	232	30.489669	201	30.489669	204	30.489669	220
51.1	30.581282	207	30.581282	211	30.581282	203	30.581282	230	30.581282	231
51.2	30.672898	219	30.672898	218	30.672898	194	30.672898	221	30.672898	218
51.3	30.764528	202	30.764528	227	30.764528	202	30.764528	232	30.764528	199
51.4	30.856729	230	30.856729	232	30.856729	219	30.856729	198	30.856729	226
51.5	30.949492	224	30.949492	198	30.949492	209	30.949492	225	30.949492	235
51.6	31.04226	220	31.04226	197	31.04226	217	31.04226	213	31.04226	227
51.7	31.135044	242	31.135044	232	31.135044	197	31.135044	225	31.135044	225
51.8	31.228692	226	31.228692	215	31.228692	209	31.228692	221	31.228692	239
51.9	31.322334	253	31.322334	222	31.322334	212	31.322334	247	31.322334	216
52	31.415981	259	31.415981	239	31.415981	232	31.415981	242	31.415981	261
52.1	31.510222	210	31.510222	216	31.510222	206	31.510222	202	31.510222	236
52.2	31.605049	207	31.605049	242	31.605049	257	31.605049	235	31.605049	225
52.3	31.699871	236	31.699871	225	31.699871	201	31.699871	257	31.699871	226
52.4	31.794698	227	31.794698	216	31.794698	221	31.794698	230	31.794698	241
52.5	31.890128	247	31.890128	226	31.890128	236	31.890128	225	31.890128	218
52.6	31.985856	217	31.985856	251	31.985856	230	31.985856	239	31.985856	218
52.7	32.082168	210	32.082168	242	32.082168	223	32.082168	245	32.082168	247
52.8	32.178487	216	32.178487	253	32.178487	223	32.178487	224	32.178487	245
52.9	32.274825	256	32.274825	236	32.274825	244	32.274825	258	32.274825	220
53	32.371762	242	32.371762	257	32.371762	204	32.371762	229	32.371762	237
53.1	32.46929	216	32.46929	227	32.46929	217	32.46929	236	32.46929	223
53.2	32.566825	238	32.566825	268	32.566825	242	32.566825	245	32.566825	239
53.3	32.664379	217	32.664379	254	32.664379	225	32.664379	266	32.664379	244
53.4	32.762541	249	32.762541	277	32.762541	275	32.762541	245	32.762541	241
53.5	32.861303	221	32.861303	263	32.861303	223	32.861303	227	32.861303	227
53.6	32.960072	265	32.960072	254	32.960072	252	32.960072	259	32.960072	264
53.7	33.058859	263	33.058859	253	33.058859	242	33.058859	246	33.058859	262
53.8	33.158263	225	33.158263	242	33.158263	252	33.158263	248	33.158263	251
53.9	33.258276	241	33.258276	243	33.258276	264	33.258276	255	33.258276	249
