Sample File	G:\Shared drives\EARL\STUDENTS\Patricia\2020\CCNC Internal Mixtures\Mixing Tube Experiments\Overnights\AS to Sucrose\AS only.S80							
Classifier Model	3080							
DMA Model	3081							
DMA Inner Radius(cm)	0.00937							
DMA Outer Radius(cm)	0.01961							
DMA Characteristic Length(cm)	0.44369							
CPC Model	3776 Low Flow							
Reference Gas Viscosity (Pa*s)	1.83E-05							
Reference Mean Free Path (m)	6.73E-08							
Reference Gas Temperature (K)	296.15							
Reference Gas Pressure (kPa)	101.3							
Channels/Decade	64							
Multiple Charge Correction	FALSE							
Nanoparticle Aggregate Mobility Analysis	FALSE							
Diffusion Correction	FALSE							
Units	dw/dlogDp							
Weight	Number							
Sample #	1		2		3		4	
Date	10/6/21		10/6/21		10/6/21		10/6/21	
Start Time	17:54:37		17:56:55		17:59:10		18:01:25	
Diameter Midpoint								
High Voltage	9959.97		9959.97		9959.97		9959.97	
Lower Size(nm)	8.05842		8.05842		8.05842		8.05842	
Upper Size(nm)	352.269		352.269		352.269		352.269	
Density(g/cc)	1.77		1.77		1.77		1.77	
Title								
Status Flag	Normal Scan		Normal Scan		Normal Scan		Normal Scan	
td(s)	2.84875		2.84875		2.84875		2.84875	
tf(s)	2.82031		2.82031		2.82031		2.82031	
D50(nm)	612.514		612.514		612.514		612.514	
Median(nm)		45.1693		44.6697		44.8387		44.7481
Mean(nm)	54.444		53.8795		54.12		54.0375	
Geo. Mean(nm)	45.8253		45.2231		45.3626		45.3828	
Mode(nm)	46.1384		46.1384		39.9542		44.5079	
Geo. Std. Dev.	1.7913		1.80201		1.80743		1.79952	
Total Concentration(#/cm³)	870014		907109		967535		978266	
Raw Data - Time(s)	Diameter #1	Counts #1	Diameter #2	Counts #2	Diameter #3	Counts #3	Diameter #4	Counts #4
0.1	6.856757	1	6.856757	6	6.856757	3	6.856757	4
0.2	6.876653	0	6.876653	3	6.876653	5	6.876653	5
0.3	6.896675	1	6.896675	3	6.896675	2	6.896675	6
0.4	6.916688	0	6.916688	3	6.916688	3	6.916688	4
0.5	6.936759	0	6.936759	3	6.936759	5	6.936759	4
0.6	6.956821	2	6.956821	5	6.956821	6	6.956821	5
0.7	6.97701	0	6.97701	2	6.97701	4	6.97701	4
0.8	6.997259	1	6.997259	3	6.997259	1	6.997259	4
0.9	7.017635	0	7.017635	4	7.017635	3	7.017635	5
1	7.038002	0	7.038002	4	7.038002	1	7.038002	2
1.1	7.058428	1	7.058428	3	7.058428	4	7.058428	3
1.2	7.078915	0	7.078915	3	7.078915	4	7.078915	4
1.3	7.099391	0	7.099391	3	7.099391	2	7.099391	7
1.4	7.119998	2	7.119998	1	7.119998	2	7.119998	4
1.5	7.140665	1	7.140665	2	7.140665	4	7.140665	9
1.6	7.161392	0	7.161392	4	7.161392	2	7.161392	6
1.7	7.18218	0	7.18218	3	7.18218	4	7.18218	6
1.8	7.2031	0	7.2031	3	7.2031	1	7.2031	2
1.9	7.22401	1	7.22401	1	7.22401	2	7.22401	4
2	7.244981	0	7.244981	1	7.244981	1	7.244981	4
2.1	7.266014	0	7.266014	2	7.266014	4	7.266014	2
2.2	7.287108	0	7.287108	4	7.287108	3	7.287108	2
2.3	7.308193	0	7.308193	3	7.308193	4	7.308193	2
2.4	7.329411	0	7.329411	5	7.329411	2	7.329411	0
2.5	7.350691	0	7.350691	3	7.350691	2	7.350691	4
2.6	7.372034	0	7.372034	3	7.372034	2	7.372034	5
2.7	7.393439	0	7.393439	0	7.393439	3	7.393439	1
2.8	7.414907	0	7.414907	3	7.414907	2	7.414907	2
2.9	7.436511	0	7.436511	4	7.436511	4	7.436511	1
3	7.458105	0	7.458105	3	7.458105	2	7.458105	4
3.1	7.479762	0	7.479762	1	7.479762	3	7.479762	2
3.2	7.501483	0	7.501483	3	7.501483	3	7.501483	2
3.3	7.523267	0	7.523267	6	7.523267	1	7.523267	4
3.4	7.545115	1	7.545115	3	7.545115	2	7.545115	4
3.5	7.567028	0	7.567028	3	7.567028	1	7.567028	3
3.6	7.589004	1	7.589004	3	7.589004	4	7.589004	3
3.7	7.611045	0	7.611045	2	7.611045	3	7.611045	4
3.8	7.633076	0	7.633076	4	7.633076	1	7.633076	1
3.9	7.655246	0	7.655246	3	7.655246	2	7.655246	4
4	7.677482	0	7.677482	2	7.677482	1	7.677482	1
4.1	7.699782	0	7.699782	2	7.699782	2	7.699782	0
4.2	7.722148	1	7.722148	1	7.722148	3	7.722148	1
4.3	7.74458	0	7.74458	1	7.74458	2	7.74458	1
4.4	7.767077	0	7.767077	0	7.767077	3	7.767077	1
4.5	7.78964	0	7.78964	1	7.78964	0	7.78964	1
4.6	7.81227	0	7.81227	2	7.81227	1	7.81227	2
4.7	7.834966	0	7.834966	2	7.834966	1	7.834966	3
4.8	7.857728	0	7.857728	3	7.857728	2	7.857728	3
4.9	7.880557	0	7.880557	2	7.880557	2	7.880557	2
5	7.903454	1	7.903454	1	7.903454	3	7.903454	4
5.1	7.926417	0	7.926417	3	7.926417	2	7.926417	3
5.2	7.949448	0	7.949448	1	7.949448	1	7.949448	2
5.3	7.972546	0	7.972546	1	7.972546	1	7.972546	3
5.4	7.995712	0	7.995712	3	7.995712	2	7.995712	2
5.5	8.018947	0	8.018947	1	8.018947	2	8.018947	1
5.6	8.042249	0	8.042249	2	8.042249	2	8.042249	0
5.7	8.06562	1	8.06562	0	8.06562	4	8.06562	2
5.8	8.089059	2	8.089059	0	8.089059	4	8.089059	1
5.9	8.112567	0	8.112567	3	8.112567	2	8.112567	2
6	8.136144	0	8.136144	1	8.136144	0	8.136144	0
6.1	8.159791	0	8.159791	3	8.159791	2	8.159791	0
6.2	8.183507	1	8.183507	2	8.183507	0	8.183507	1
6.3	8.207292	0	8.207292	0	8.207292	4	8.207292	1
6.4	8.231147	0	8.231147	2	8.231147	1	8.231147	3
6.5	8.255073	1	8.255073	1	8.255073	2	8.255073	1
6.6	8.279068	0	8.279068	2	8.279068	2	8.279068	1
6.7	8.303216	0	8.303216	1	8.303216	1	8.303216	0
6.8	8.327353	0	8.327353	2	8.327353	0	8.327353	0
6.9	8.351561	0	8.351561	1	8.351561	2	8.351561	2
7	8.37584	0	8.37584	1	8.37584	0	8.37584	1
7.1	8.400191	0	8.400191	1	8.400191	1	8.400191	0
7.2	8.424613	0	8.424613	3	8.424613	2	8.424613	2
7.3	8.449107	0	8.449107	1	8.449107	2	8.449107	0
7.4	8.473673	0	8.473673	0	8.473673	1	8.473673	2
7.5	8.498311	2	8.498311	2	8.498311	2	8.498311	0
7.6	8.522937	0	8.522937	0	8.522937	0	8.522937	0
7.7	8.54772	1	8.54772	1	8.54772	1	8.54772	0
7.8	8.572575	0	8.572575	1	8.572575	1	8.572575	0
7.9	8.597504	0	8.597504	1	8.597504	1	8.597504	0
8	8.622506	0	8.622506	1	8.622506	1	8.622506	0
8.1	8.647581	1	8.647581	2	8.647581	0	8.647581	0
8.2	8.67273	1	8.67273	0	8.67273	2	8.67273	1
8.3	8.698038	0	8.698038	0	8.698038	2	8.698038	2
8.4	8.723336	0	8.723336	2	8.723336	2	8.723336	1
8.5	8.748708	0	8.748708	2	8.748708	1	8.748708	0
8.6	8.774154	0	8.774154	0	8.774154	0	8.774154	0
8.7	8.799676	0	8.799676	1	8.799676	1	8.799676	1
8.8	8.825186	0	8.825186	0	8.825186	0	8.825186	3
8.9	8.850857	0	8.850857	0	8.850857	1	8.850857	3
9	8.876604	0	8.876604	2	8.876604	0	8.876604	2
9.1	8.902426	0	8.902426	2	8.902426	1	8.902426	0
9.2	8.928324	1	8.928324	1	8.928324	3	8.928324	0
9.3	8.954387	1	8.954387	0	8.954387	1	8.954387	0
9.4	8.980438	1	8.980438	1	8.980438	0	8.980438	1
9.5	9.006567	0	9.006567	1	9.006567	1	9.006567	0
9.6	9.032772	1	9.032772	1	9.032772	0	9.032772	1
9.7	9.058966	2	9.058966	1	9.058966	1	9.058966	4
9.8	9.085325	0	9.085325	3	9.085325	1	9.085325	0
9.9	9.111761	1	9.111761	0	9.111761	0	9.111761	0
10	9.138276	0	9.138276	3	9.138276	1	9.138276	2
10.1	9.164958	0	9.164958	3	9.164958	3	9.164958	0
10.2	9.191629	0	9.191629	2	9.191629	2	9.191629	2
10.3	9.218379	1	9.218379	1	9.218379	0	9.218379	1
10.4	9.245208	1	9.245208	0	9.245208	0	9.245208	0
10.5	9.272025	0	9.272025	1	9.272025	1	9.272025	1
10.6	9.299011	1	9.299011	3	9.299011	2	9.299011	1
10.7	9.326077	1	9.326077	2	9.326077	1	9.326077	0
10.8	9.353314	0	9.353314	0	9.353314	1	9.353314	0
10.9	9.38054	0	9.38054	0	9.38054	0	9.38054	1
11	9.407846	0	9.407846	0	9.407846	2	9.407846	1
11.1	9.435141	0	9.435141	0	9.435141	2	9.435141	0
11.2	9.462608	1	9.462608	2	9.462608	1	9.462608	1
11.3	9.490155	0	9.490155	0	9.490155	1	9.490155	0
11.4	9.517784	0	9.517784	2	9.517784	1	9.517784	1
11.5	9.545588	1	9.545588	0	9.545588	1	9.545588	1
11.6	9.573381	1	9.573381	2	9.573381	1	9.573381	3
11.7	9.601255	2	9.601255	0	9.601255	1	9.601255	0
11.8	9.629117	3	9.629117	0	9.629117	1	9.629117	0
11.9	9.657156	0	9.657156	3	9.657156	1	9.657156	1
12	9.685371	2	9.685371	1	9.685371	1	9.685371	1
12.1	9.713576	0	9.713576	1	9.713576	3	9.713576	2
12.2	9.741864	1	9.741864	1	9.741864	4	9.741864	0
12.3	9.77014	1	9.77014	2	9.77014	1	9.77014	4
12.4	9.798593	0	9.798593	1	9.798593	3	9.798593	1
12.5	9.827131	1	9.827131	1	9.827131	0	9.827131	2
12.6	9.85585	1	9.85585	1	9.85585	1	9.85585	4
12.7	9.884558	0	9.884558	1	9.884558	1	9.884558	3
12.8	9.913253	0	9.913253	0	9.913253	0	9.913253	3
12.9	9.942129	0	9.942129	0	9.942129	2	9.942129	2
13	9.97109	3	9.97109	1	9.97109	4	9.97109	2
13.1	10.000235	1	10.000235	2	10.000235	1	10.000235	2
13.2	10.029368	1	10.029368	2	10.029368	1	10.029368	3
13.3	10.058489	0	10.058489	3	10.058489	3	10.058489	2
13.4	10.087794	0	10.087794	1	10.087794	2	10.087794	1
13.5	10.117185	2	10.117185	3	10.117185	2	10.117185	1
13.6	10.146762	0	10.146762	3	10.146762	1	10.146762	1
13.7	10.176328	0	10.176328	0	10.176328	2	10.176328	2
13.8	10.205881	0	10.205881	2	10.205881	6	10.205881	3
13.9	10.235621	1	10.235621	1	10.235621	4	10.235621	3
14	10.265548	2	10.265548	1	10.265548	1	10.265548	3
14.1	10.295465	2	10.295465	5	10.295465	0	10.295465	0
14.2	10.325369	0	10.325369	2	10.325369	5	10.325369	1
14.3	10.355461	2	10.355461	2	10.355461	4	10.355461	3
14.4	10.385744	1	10.385744	3	10.385744	4	10.385744	1
14.5	10.416015	0	10.416015	3	10.416015	3	10.416015	2
14.6	10.446376	2	10.446376	3	10.446376	2	10.446376	0
14.7	10.476724	0	10.476724	3	10.476724	5	10.476724	0
14.8	10.507263	1	10.507263	1	10.507263	1	10.507263	1
14.9	10.537996	0	10.537996	0	10.537996	2	10.537996	2
15	10.568718	1	10.568718	4	10.568718	0	10.568718	2
15.1	10.599425	1	10.599425	0	10.599425	3	10.599425	3
15.2	10.630327	1	10.630327	2	10.630327	4	10.630327	2
15.3	10.661425	4	10.661425	2	10.661425	7	10.661425	5
15.4	10.692511	3	10.692511	3	10.692511	4	10.692511	4
15.5	10.723584	1	10.723584	2	10.723584	2	10.723584	2
15.6	10.754852	3	10.754852	2	10.754852	4	10.754852	5
15.7	10.78632	3	10.78632	3	10.78632	4	10.78632	2
15.8	10.81767	3	10.81767	3	10.81767	3	10.81767	2
15.9	10.849217	1	10.849217	4	10.849217	3	10.849217	3
16	10.880963	0	10.880963	4	10.880963	2	10.880963	6
16.1	10.912698	1	10.912698	1	10.912698	2	10.912698	4
16.2	10.944421	1	10.944421	4	10.944421	4	10.944421	4
16.3	10.976342	5	10.976342	3	10.976342	4	10.976342	6
16.4	11.008466	2	11.008466	2	11.008466	4	11.008466	4
16.5	11.040579	4	11.040579	2	11.040579	3	11.040579	1
16.6	11.072677	3	11.072677	2	11.072677	3	11.072677	3
16.7	11.104978	2	11.104978	7	11.104978	3	11.104978	3
16.8	11.137485	0	11.137485	3	11.137485	2	11.137485	3
16.9	11.16987	3	11.16987	3	11.16987	2	11.16987	3
17	11.202459	2	11.202459	5	11.202459	4	11.202459	3
17.1	11.235254	5	11.235254	2	11.235254	4	11.235254	3
17.2	11.268037	1	11.268037	3	11.268037	4	11.268037	7
17.3	11.300807	1	11.300807	2	11.300807	4	11.300807	3
17.4	11.333893	3	11.333893	4	11.333893	5	11.333893	4
17.5	11.366969	8	11.366969	5	11.366969	7	11.366969	5
17.6	11.400032	5	11.400032	4	11.400032	5	11.400032	3
17.7	11.433301	2	11.433301	3	11.433301	3	11.433301	3
17.8	11.466783	3	11.466783	5	11.466783	6	11.466783	4
17.9	11.50014	3	11.50014	4	11.50014	4	11.50014	3
18	11.533706	1	11.533706	3	11.533706	5	11.533706	1
18.1	11.567486	3	11.567486	7	11.567486	3	11.567486	4
18.2	11.601253	5	11.601253	4	11.601253	7	11.601253	6
18.3	11.635006	3	11.635006	5	11.635006	5	11.635006	7
18.4	11.669086	3	11.669086	3	11.669086	10	11.669086	3
18.5	11.703155	8	11.703155	4	11.703155	4	11.703155	5
18.6	11.737209	5	11.737209	3	11.737209	6	11.737209	4
18.7	11.771593	3	11.771593	8	11.771593	5	11.771593	3
18.8	11.805966	4	11.805966	8	11.805966	5	11.805966	5
18.9	11.840324	7	11.840324	6	11.840324	8	11.840324	9
19	11.875014	6	11.875014	4	11.875014	4	11.875014	6
19.1	11.909694	5	11.909694	6	11.909694	5	11.909694	4
19.2	11.944358	5	11.944358	4	11.944358	8	11.944358	8
19.3	11.979358	5	11.979358	7	11.979358	8	11.979358	3
19.4	12.014347	6	12.014347	7	12.014347	7	12.014347	4
19.5	12.049321	4	12.049321	9	12.049321	8	12.049321	9
19.6	12.084633	5	12.084633	6	12.084633	7	12.084633	10
19.7	12.119934	5	12.119934	3	12.119934	13	12.119934	9
19.8	12.15522	6	12.15522	5	12.15522	8	12.15522	4
19.9	12.190848	7	12.190848	4	12.190848	11	12.190848	6
20	12.226464	9	12.226464	10	12.226464	10	12.226464	11
20.1	12.262065	7	12.262065	7	12.262065	6	12.262065	9
20.2	12.298011	8	12.298011	10	12.298011	7	12.298011	9
20.3	12.333826	5	12.333826	7	12.333826	6	12.333826	11
20.4	12.369864	7	12.369864	8	12.369864	6	12.369864	11
20.5	12.406132	4	12.406132	6	12.406132	11	12.406132	6
20.6	12.442266	8	12.442266	11	12.442266	13	12.442266	8
20.7	12.478627	8	12.478627	6	12.478627	14	12.478627	13
20.8	12.515219	8	12.515219	18	12.515219	11	12.515219	11
20.9	12.551675	10	12.551675	10	12.551675	5	12.551675	12
21	12.588483	5	12.588483	7	12.588483	9	12.588483	12
21.1	12.62528	18	12.62528	9	12.62528	11	12.62528	19
21.2	12.662062	6	12.662062	11	12.662062	11	12.662062	14
21.3	12.6992	11	12.6992	7	12.6992	11	12.6992	8
21.4	12.736202	7	12.736202	15	12.736202	11	12.736202	6
21.5	12.773436	12	12.773436	14	12.773436	18	12.773436	13
21.6	12.810906	10	12.810906	12	12.810906	11	12.810906	12
21.7	12.848239	10	12.848239	11	12.848239	11	12.848239	11
21.8	12.885931	6	12.885931	10	12.885931	16	12.885931	17
21.9	12.923612	10	12.923612	11	12.923612	15	12.923612	15
22	12.961278	6	12.961278	9	12.961278	11	12.961278	11
22.1	12.999308	6	12.999308	18	12.999308	15	12.999308	12
22.2	13.037199	8	13.037199	17	13.037199	16	13.037199	15
