1.02E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.07E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.12E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.17E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.23E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.29E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.35E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.41E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.48E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.55E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.62E-08	11412.5	753.717	119.678	24.6245	9.83333	6.09648	1.92981	5.06779	8.22337	6.42981	2.5567	3	0.833333	2	4.16667	2.66667	1	1	0.333333	0.166667	0	2.16667	2	1.83333	0	1	0	1.16667	2.5	2.5	0	1	0.166667	0	0.333333	0.5	1.83333	1.16667	0.833333	0.166667	0	0.166667	0.833333	0.166667	1	0.833333	0	0.166667
1.70E-08	13320.2	882.209	178.265	33.4265	8.42857	4.42857	2.42857	6.42857	5.74838	4	2.74838	1.28571	0.714286	2	0.906604	0	2.42857	0.571429	0.714286	0	0.714286	1	2.71429	0	0.714286	0.620889	0.714286	1.42857	0.714286	1	0.285714	0.285714	0.714286	0.285714	2.71429	2.28571	0	0.714286	0	0	0.714286	0.285714	1	0.714286	0.285714	0	0	0
1.78E-08	15101	1068.25	211.2	56.848	18.7827	5	2	6.5	6.5	3	3	1	1.5	1	2.10896	1.5	1	1	0	0	0	2	2	0	0.5	0.108963	0	0	0	0.5	0.5	1	0.5	1	2	1.5	0	0.5	0.5	0	0.5	0.5	2.5	0	0.5	0	0.5	0
1.86E-08	16528.4	1339.94	255.071	67.5355	17.6148	8.42857	4.42857	8.65487	2.71429	1.28571	1.57143	1.42857	2.28571	0	1.57143	1.57143	0.285714	0.714286	0	0	0	0.857143	1.28571	2.14286	1	0.714286	0	0.714286	0	0	0.714286	0.285714	1	0.285714	2.71429	1.42857	0.714286	0.285714	0.285714	0.714286	0.285714	0.654873	1.14286	0	0.714286	0	0.285714	0
