1.02E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.07E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.12E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.17E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.23E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.29E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.35E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.41E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.48E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.55E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.62E-08	2171.9	98.7548	13.0871	3.33333	2.66667	4.16667	2.83333	0.333333	1	0.333333	0.333333	0	1.83333	5.90112	0.929812	0	0.833333	0.5	0	2.66667	1	0	0	1	0.166667	0	5.5	1.33333	1.16667	0	0	0	1.83333	0	0.833333	0.833333	1	0	0
1.70E-08	2849.01	153.66	19.0243	3.85714	0.857143	1.71429	1.28571	1	0	0.714286	0.285714	0.714286	8.28571	2.57143	0.285714	0.571429	0.285714	0.857143	0	0	0.285714	0	0	0	0	0	0.571429	1.71429	2.14286	0	1	0.571429	0.285714	0	1.71429	0	0.571429	1.42857	0
1.78E-08	3563.3	196.327	25.218	9	3	1	1.5	2	1	1	0.5	0	5.5	4.5	2	1	1	2.5	0	0.5	0.5	0.5	0	0.5	0	0.5	1.5	1	0	0	0.5	1	1	0	1.5	0	1	0	1
1.86E-08	4496.31	282.04	39.3338	16.9406	2.28571	0.285714	3.14286	3	2	1.28571	0	0	3.42857	2.14286	0.857143	0.714286	0.285714	0.571429	0	1	0	0.285714	0	0.940587	0	0.285714	2.42857	1	0	0	0.714286	0.714286	0.285714	0	1.28571	0.714286	0	0.714286	1.28571
1.95E-08	5180.63	435.306	54.0529	15.0832	6	1	1	1	1	0	2	0	2	2	0	1	1	0	1	0	0	0	2	0.0831783	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0
