1.02E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.07E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.12E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.17E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.23E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.29E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.35E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.41E-08	10.8993	7	2	1	0	1	2	0.899284	0	3.33E-15	0	0	0	2	1	2	1	3.33E-15	0	0	0	0	1	0.899284	2.75E-15	0	0	1	1	0	0	0	0	1	0	3.33E-15	0	0	1	0	0.47344	1	1	1	0	1	3.33E-15	0	1
1.48E-08	5	3.6	3.8	0.565118	0.4	0.6	0.66254	1.8	0.8	0.6	0	0	0	0.6	0.6	1.2	0.8	0.6	0	0	0	0.8	0.4	0	0.565118	0	0	0.4	0	0	0	0	0	0	0	0.6	0	0.4	0.6	0	1.51594	0.6	0	0.6	0	0	0.6	0	0
1.55E-08	7.66667	6.66667	3.30992	0.724804	1	1.33333	1.28122	0	2	1.33333	0	0	0	0.666667	0	0	0.666667	0	0	0	0.666667	0.666667	0.333333	0	0.058137	0	0	1	0	0	0	0	0	0	0	0	0	0.333333	0	0	0	0.309921	0	0	0.666667	0	0	0	0
1.62E-08	9.83333	7	2.52341	1	1	0.333333	2.80727	0.833333	0.333333	0.333333	0	0	0	1	0	0	0	0	0	0	0.166667	0	0.833333	0	0.833333	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.833333	1.35675	0.833333	0	0.166667	0.833333	0	0	0
1.70E-08	7	6.93306	4.21376	0.285714	0.571429	2.42857	2.42857	0	0.714286	0.285714	0.571429	0	0	0.285714	1.42857	1	0.714286	0.714286	0	0.714286	0	0.0708989	0	0	0	0	0.714286	0.714286	0.714286	0	0	0	0	0	0	0	0	0	0	0	0	0.714286	0	0	0	0	0	0	0
1.78E-08	13	11.9942	7.5	2	2	2	0.5	1	0.5	1.5	2	0	0	0.5	0	0.5	0	0.5	0.5	0.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5
1.86E-08	17.5714	14.2148	5.78624	3	2	0.857143	1.42857	1.28571	0.285714	0.571429	0.571429	0.714286	0	0.714286	0.714286	0.714286	0	0.285714	0.285714	0.285714	1.42857	1.50053	0	0	0	0	0	0	0.714286	0	0	0	0	0	0	0	0	0	0	0	0.714286	0	0	0	0.285714	0	0	0	0.285714
1.95E-08	24	18	8	1	0	2	3	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.04E-08	38.2644	22.4342	12	4.86281	4.71429	2.57143	2.85714	2.28571	1.57143	0	0.285714	0.714286	1.57143	0.571429	0.285714	0	0	0	0	0	0	0.714286	0	0	0	0	0	0	0.285714	0.285714	0	0	0	0	0	0	0	0	0	0	0.285714	0	0	0	0	0	0	0	0
2.14E-08	51.624	41.6201	23.3027	8.92275	8.375	2.75	4.375	3	1.125	0.625	0.375	1.25	1.125	0.75	1	0	0.625	0	0.625	0.625	0	0	0	0	0	1.25	0	0	0.375	0.375	0	0	0	0	0	0	0	0	0	0	0.375	0	0	0	0	0	0	0	0
2.24E-08	56.3451	46.0519	24.0383	18.6843	9.25	4.625	5.75	4.75	1.75	1.875	1.75	0.25	0.875	3.5	2.75	0.875	0.125	0.875	1	1.875	0	0.875	0.875	0	0	0.25	0	0	0.875	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.34E-08	79.1617	56.0497	31.1068	14.7954	11.9602	9.9602	6.25	3.5	5.5	0.25	2.13448	0	1.125	2.5	1.75	1	0.25	0	0.875	0	0	1	0	0.125	0.210201	0.25	1	0	0.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125
2.45E-08	128.903	92.1781	66.0191	38.096	23.1596	15.938	13.6678	7.00055	8.11111	1.55556	2.56398	2.22277	2	4.66722	1.33333	2.33333	2.44444	1.33333	0.444444	0	0.444444	0.555556	0	0.555556	0.492444	2	0.555556	0	0.444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555556
2.57E-08	191.872	113.096	86.3381	51.382	27.6521	25.1583	19.6896	13.9993	9.24653	1.77778	4.31648	7.33264	2	6.8882	5.24653	1.66667	2.22222	2.22222	1.69097	0.777778	2.55556	2.33333	0.777778	0.777778	0	1.22222	0	0.777778	1	0	0	0.777778	0	0	0	0	0	0	0	0	0.777778	0	0	0	0	0	0	0	0
2.69E-08	222.754	178.002	93.2779	69.2232	36.918	41.2232	30.8474	20	11.1116	10	12.7358	5	7	4	3.11161	4	3	7	1.84738	1	1	1	4	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
